Full Name,Address,Email
Sita Krishna Shrestha,Bhaktapur,sita.krishnashrestha@example.com
John Raj Gurung,Bhaktapur,john.rajgurung@example.com
Michael Laxmi Limbu,Kathmandu,michael.laxmilimbu@example.com
Emily Raj Tamang,Butwal,emily.rajtamang@example.com
Kabir Krishna Rana,Bhaktapur,kabir.krishnarana@example.com
Anita Shrestha Tamang,Kathmandu,anita.shresthatamang@example.com
Anita Limbu,Dharan,anita.limbu@example.com
Raj Laxmi Singh,Kathmandu,raj.laxmisingh@example.com
Michael Maya Maharjan,Butwal,michael.mayamaharjan@example.com
Emily Shrestha Shah,Dharan,emily.shresthashah@example.com
Michael Maya Thapa,Chitwan,michael.mayathapa@example.com
Sita Raj Limbu,Dharan,sita.rajlimbu@example.com
John Singh Limbu,Dharan,john.singhlimbu@example.com
Emily Singh Thapa,Chitwan,emily.singhthapa@example.com
Sophia Shrestha Shrestha,Lalitpur,sophia.shresthashrestha@example.com
Bikash Shrestha KC,Dharan,bikash.shresthakc@example.com
Sophia Prasad Maharjan,Dharan,sophia.prasadmaharjan@example.com
Sita Rana,Pokhara,sita.rana@example.com
Michael Maya Shah,Bhaktapur,michael.mayashah@example.com
Kabir Krishna Singh,Biratnagar,kabir.krishnasingh@example.com
Raj Kumar Shah,Kathmandu,raj.kumarshah@example.com
Raj Singh KC,Biratnagar,raj.singhkc@example.com
Bikash Maharjan,Biratnagar,bikash.maharjan@example.com
Emily Kumar Rana,Dharan,emily.kumarrana@example.com
Kabir Singh Gurung,Butwal,kabir.singhgurung@example.com
Michael Maya Limbu,Bhaktapur,michael.mayalimbu@example.com
John Maya Gurung,Kathmandu,john.mayagurung@example.com
Michael Shrestha Thapa,Butwal,michael.shresthathapa@example.com
Emily Prasad Shah,Bhaktapur,emily.prasadshah@example.com
Sita Singh Maharjan,Lalitpur,sita.singhmaharjan@example.com
Anita Kumar Tamang,Bhaktapur,anita.kumartamang@example.com
Michael Laxmi Shah,Lalitpur,michael.laxmishah@example.com
