full_name,address,email
"Asif Bahadur Khadka","652 Sundhara",asif.khadka1@example.com
"Asif Kumar Bhandari","8784 Jawalakhel",asif.bhandari2@mail.com
"Arif Bhagat Khadka","642 Ratnapark",arif.khadka3@random.org
"Asif Dhoj Seikh","5031 Sundhara",asif.seikh4@test.com
"Karan Dev Khadka","8241 New Road",karan.khadka5@demo.net
"Lalit Bhopal Kami","6182 Jawalakhel",lalit.kami6@test.com
"Rohit Dhoj Bhandari","5096 Sundhara",rohit.bhandari7@test.com
"Binod Bhagat Bhandari","6265 Baneshwor",binod.bhandari8@demo.net
"Kushal Dev Lamichane","3722 Tinkune",kushal.lamichane9@random.org
"Kushal Bir K.C","6889 New Road",kushal.k.c10@demo.net
"Kushal Gopal Bhurtel","4898 Chabel",kushal.bhurtel11@example.com
"Sompal Bahadur Kami","8935 Sundhara",sompal.kami12@demo.net
"Sompal Krishna Seikh","7883 Tinkune",sompal.seikh13@test.com
"Arif Dhoj Seikh","6511 New Road",arif.seikh14@mail.com
"Arif Bir Malla","1523 Gaushala",arif.malla15@test.com
"Binod Bir Paudel","3717 New Road",binod.paudel16@mail.com
"Lalit Bir Malla","2149 Gaushala",lalit.malla17@example.com
"Sompal Gopal Malla","9909 Tinkune",sompal.malla18@random.org
"Rohit Bhopal Rajbanshi","7941 Ekantakuna",rohit.rajbanshi19@demo.net
"Arif Lal Rajbanshi","5805 New Road",arif.rajbanshi20@example.com
"Arif Bahadur K.C","170 Jawalakhel",arif.k.c21@mail.com
"Asif Gopal Bhandari","5270 Jawalakhel",asif.bhandari22@demo.net
"Karan Gopal K.C","6005 Gaushala",karan.k.c23@mail.com
"Sandeep Bhagat Kami","3129 Tinkune",sandeep.kami24@random.org
"Kushal Bhopal Bhurtel","9013 Tinkune",kushal.bhurtel25@mail.com
"Binod Bahadur Malla","319 Jawalakhel",binod.malla26@test.com
"Sompal Bir Malla","1022 Ratnapark",sompal.malla27@test.com
"Binod Gopal K.C","169 Sundhara",binod.k.c28@demo.net
"Rohit Bhagat Kami","5697 Jawalakhel",rohit.kami29@example.com
"Rohit Dev Malla","6143 Baneshwor",rohit.malla30@demo.net
"Karan Dhoj Khadka","371 Sundhara",karan.khadka31@random.org
"Asif Dev Paudel","6597 Tinkune",asif.paudel32@random.org
"Kushal Bahadur Bhandari","8455 Jawalakhel",kushal.bhandari33@example.com
"Paras Bahadur Kami","9801 New Road",paras.kami34@example.com
"Paras Krishna Paudel","2122 Baneshwor",paras.paudel35@demo.net
"Arif Bir K.C","8939 New Road",arif.k.c36@mail.com
"Kushal Gopal Malla","4151 Ekantakuna",kushal.malla37@test.com
"Sompal Krishna Seikh","6819 Jawalakhel",sompal.seikh38@test.com
"Kushal Bhopal Kami","6188 Ratnapark",kushal.kami39@test.com
"Paras Bahadur Seikh","9642 New Road",paras.seikh40@demo.net
"Rohit Dhoj K.C","7302 Chabel",rohit.k.c41@example.com
"Asif Bhopal K.C","1127 Baneshwor",asif.k.c42@mail.com
