full_name,address,email
"Lalit Dhoj Rajbanshi",Ratnapark,lalit.rajbanshi1baneshwor@random.org
"Sompal Bhopal Bhandari",Tripureshwor,sompal.bhandari2ratnapark@demo.net
"Rohit Bhopal Rajbanshi",Sundhara,rohit.rajbanshi3gaushala@mail.com
"Karan Bhopal Khadka",Gaushala,karan.khadka4baneshwor@random.org
"Arif Dhoj Lamichane",Ekantakuna,arif.lamichane5gaushala@mail.com
"Binod Krishna Bhurtel",Tripureshwor,binod.bhurtel6ekantakuna@demo.net
"Sandeep Bahadur Khadka",Sundhara,sandeep.khadka7tinkune@example.com
"Binod Dhoj Malla",Ekantakuna,binod.malla8tripureshwor@test.com
"Sandeep Dev Lamichane",Sundhara,sandeep.lamichane9sundhara@mail.com
"Sompal Krishna Malla",Gaushala,sompal.malla10tinkune@mail.com
"Binod Bahadur Bhurtel",Baneshwor,binod.bhurtel11ekantakuna@test.com
"Lalit Lal Rajbanshi",Tripureshwor,lalit.rajbanshi12baneshwor@demo.net
"Sandeep Dhoj Paudel",Jawalakhel,sandeep.paudel13ratnapark@random.org
"Arif Lal Khadka",Ratnapark,"arif.khadka14new road@test.com"
"Sandeep Bir Paudel",Ratnapark,sandeep.paudel15tripureshwor@mail.com
"Lalit Kumar Malla",Tripureshwor,lalit.malla16sundhara@demo.net
"Sandeep Gopal Bhandari",Tripureshwor,sandeep.bhandari17jawalakhel@demo.net
"Asif Bir Bhandari",Chabel,asif.bhandari18ekantakuna@demo.net
"Rohit Dhoj Rajbanshi",Gaushala,rohit.rajbanshi19ekantakuna@mail.com
"Paras Lal Kami",Ratnapark,paras.kami20jawalakhel@example.com
"Paras Bhopal K.C",Sundhara,paras.k.c21tinkune@test.com
"Sompal Dev K.C",Baneshwor,sompal.k.c22baneshwor@demo.net
"Sompal Krishna Malla",Jawalakhel,sompal.malla23ekantakuna@test.com
"Sompal Dev Kami",Ratnapark,sompal.kami24jawalakhel@example.com
"Kushal Krishna Bhandari",Chabel,kushal.bhandari25baneshwor@demo.net
"Karan Dev Malla","New Road",karan.malla26tinkune@random.org
"Sompal Gopal Paudel",Gaushala,"sompal.paudel27new road@demo.net"
"Binod Kumar Bhurtel",Ekantakuna,binod.bhurtel28gaushala@test.com
"Sandeep Krishna Kami",Ekantakuna,sandeep.kami29jawalakhel@demo.net
"Karan Krishna Lamichane","New Road",karan.lamichane30jawalakhel@demo.net
"Karan Bhopal Khadka",Tinkune,karan.khadka31chabel@mail.com
"Arif Krishna Bhurtel",Jawalakhel,"arif.bhurtel32new road@test.com"
"Lalit Bahadur Malla",Ekantakuna,lalit.malla33jawalakhel@mail.com
"Karan Bahadur Lamichane",Baneshwor,karan.lamichane34baneshwor@demo.net
"Rohit Krishna Bhurtel",Sundhara,rohit.bhurtel35ekantakuna@test.com
"Rohit Gopal Seikh",Ratnapark,rohit.seikh36ekantakuna@demo.net
"Binod Lal Lamichane",Sundhara,binod.lamichane37baneshwor@test.com
"Asif Bahadur Malla",Ratnapark,"asif.malla38new road@example.com"
"Asif Lal Paudel",Gaushala,asif.paudel39tinkune@test.com
"Asif Bhopal Khadka",Tinkune,asif.khadka40sundhara@mail.com
"Lalit Bahadur Lamichane",Chabel,lalit.lamichane41ratnapark@test.com
"Arif Dhoj Paudel",Ekantakuna,arif.paudel42ratnapark@demo.net
"Lalit Bahadur K.C",Baneshwor,lalit.k.c43baneshwor@random.org
"Sompal Kumar Malla",Gaushala,sompal.malla44tripureshwor@mail.com
"Arif Gopal Malla",Gaushala,arif.malla45jawalakhel@example.com
"Sompal Bhopal Kami",Chabel,sompal.kami46ekantakuna@mail.com
"Binod Gopal Khadka",Chabel,binod.khadka47tripureshwor@test.com
"Lalit Bahadur Seikh",Tripureshwor,lalit.seikh48tripureshwor@test.com
"Paras Bhagat Seikh",Ekantakuna,paras.seikh49ratnapark@mail.com
"Arif Kumar Bhurtel",Jawalakhel,arif.bhurtel50ratnapark@mail.com
"Karan Bir Malla",Ratnapark,karan.malla51sundhara@demo.net
"Binod Bahadur Rajbanshi",Jawalakhel,"binod.rajbanshi52new road@mail.com"
"Arif Kumar Khadka",Gaushala,arif.khadka53baneshwor@random.org
"Asif Krishna Lamichane",Jawalakhel,asif.lamichane54ekantakuna@mail.com
"Sompal Kumar Seikh",Ekantakuna,"sompal.seikh55new road@demo.net"
"Kushal Bir Kami",Jawalakhel,kushal.kami56ratnapark@random.org
"Asif Dhoj Kami","New Road","asif.kami57new road@random.org"
"Lalit Bhopal Seikh",Jawalakhel,lalit.seikh58jawalakhel@demo.net
"Karan Dev Rajbanshi",Ekantakuna,karan.rajbanshi59sundhara@test.com
"Sompal Bhagat Rajbanshi","New Road",sompal.rajbanshi60tinkune@test.com
"Arif Dhoj Seikh",Tinkune,arif.seikh61tripureshwor@test.com
"Asif Krishna Khadka",Ratnapark,asif.khadka62baneshwor@random.org
"Rohit Gopal Kami",Baneshwor,rohit.kami63ekantakuna@example.com
"Arif Dhoj Lamichane",Ekantakuna,arif.lamichane64gaushala@demo.net
"Karan Bir Bhandari",Sundhara,karan.bhandari65tripureshwor@mail.com
"Karan Lal Paudel",Jawalakhel,karan.paudel66chabel@demo.net
"Binod Dev Lamichane",Chabel,binod.lamichane67baneshwor@mail.com
"Arif Bir Rajbanshi",Ratnapark,"arif.rajbanshi68new road@demo.net"
"Karan Dhoj Kami",Ratnapark,karan.kami69tripureshwor@example.com
"Rohit Bhagat Kami",Baneshwor,rohit.kami70ratnapark@example.com
"Arif Lal Kami",Ratnapark,arif.kami71jawalakhel@demo.net
"Kushal Dhoj Bhurtel",Gaushala,kushal.bhurtel72sundhara@random.org
"Karan Krishna Khadka",Jawalakhel,karan.khadka73ratnapark@demo.net
"Karan Lal Lamichane",Ratnapark,karan.lamichane74tripureshwor@test.com
"Asif Dhoj Rajbanshi","New Road",asif.rajbanshi75baneshwor@example.com
