"Full Name",Address,Email
<<<<<<< HEAD
"Asif Bahadur Khadka","652 Sundhara",asif.khadka1@example.com
"Asif Kumar Bhandari","8784 Jawalakhel",asif.bhandari2@mail.com
"Arif Bhagat Khadka","642 Ratnapark",arif.khadka3@random.org
"Asif Dhoj Seikh","5031 Sundhara",asif.seikh4@test.com
"Karan Dev Khadka","8241 New Road",karan.khadka5@demo.net
"Lalit Bhopal Kami","6182 Jawalakhel",lalit.kami6@test.com
"Rohit Dhoj Bhandari","5096 Sundhara",rohit.bhandari7@test.com
"Binod Bhagat Bhandari","6265 Baneshwor",binod.bhandari8@demo.net
"Kushal Dev Lamichane","3722 Tinkune",kushal.lamichane9@random.org
"Kushal Bir K.C","6889 New Road",kushal.k.c10@demo.net
"Kushal Gopal Bhurtel","4898 Chabel",kushal.bhurtel11@example.com
"Sompal Bahadur Kami","8935 Sundhara",sompal.kami12@demo.net
"Sompal Krishna Seikh","7883 Tinkune",sompal.seikh13@test.com
"Arif Dhoj Seikh","6511 New Road",arif.seikh14@mail.com
"Arif Bir Malla","1523 Gaushala",arif.malla15@test.com
"Binod Bir Paudel","3717 New Road",binod.paudel16@mail.com
"Lalit Bir Malla","2149 Gaushala",lalit.malla17@example.com
"Sompal Gopal Malla","9909 Tinkune",sompal.malla18@random.org
"Rohit Bhopal Rajbanshi","7941 Ekantakuna",rohit.rajbanshi19@demo.net
"Arif Lal Rajbanshi","5805 New Road",arif.rajbanshi20@example.com
"Arif Bahadur K.C","170 Jawalakhel",arif.k.c21@mail.com
"Asif Gopal Bhandari","5270 Jawalakhel",asif.bhandari22@demo.net
"Karan Gopal K.C","6005 Gaushala",karan.k.c23@mail.com
"Sandeep Bhagat Kami","3129 Tinkune",sandeep.kami24@random.org
"Kushal Bhopal Bhurtel","9013 Tinkune",kushal.bhurtel25@mail.com
"Binod Bahadur Malla","319 Jawalakhel",binod.malla26@test.com
"Sompal Bir Malla","1022 Ratnapark",sompal.malla27@test.com
"Binod Gopal K.C","169 Sundhara",binod.k.c28@demo.net
"Rohit Bhagat Kami","5697 Jawalakhel",rohit.kami29@example.com
"Rohit Dev Malla","6143 Baneshwor",rohit.malla30@demo.net
"Karan Dhoj Khadka","371 Sundhara",karan.khadka31@random.org
"Asif Dev Paudel","6597 Tinkune",asif.paudel32@random.org
"Kushal Bahadur Bhandari","8455 Jawalakhel",kushal.bhandari33@example.com
"Paras Bahadur Kami","9801 New Road",paras.kami34@example.com
"Paras Krishna Paudel","2122 Baneshwor",paras.paudel35@demo.net
"Arif Bir K.C","8939 New Road",arif.k.c36@mail.com
"Kushal Gopal Malla","4151 Ekantakuna",kushal.malla37@test.com
"Sompal Krishna Seikh","6819 Jawalakhel",sompal.seikh38@test.com
"Kushal Bhopal Kami","6188 Ratnapark",kushal.kami39@test.com
"Paras Bahadur Seikh","9642 New Road",paras.seikh40@demo.net
"Rohit Dhoj K.C","7302 Chabel",rohit.k.c41@example.com
"Asif Bhopal K.C","1127 Baneshwor",asif.k.c42@mail.com
"Arif Lal Lamichane","1770 New Road",arif.lamichane43@example.com
"Sandeep Dhoj Bhurtel","1062 Chabel",sandeep.bhurtel44@example.com
"Kushal Dev Seikh","5938 Ekantakuna",kushal.seikh45@mail.com
"Kushal Bhopal Malla","1567 Baneshwor",kushal.malla46@test.com
"Kushal Kumar Malla","3759 Chabel",kushal.malla47@example.com
"Paras Kumar Kami","7968 New Road",paras.kami48@mail.com
"Arif Bhopal Bhandari","8395 Tinkune",arif.bhandari49@test.com
"Sandeep Kumar Seikh","7979 Jawalakhel",sandeep.seikh50@example.com
"Kushal Lal Seikh","9107 New Road",kushal.seikh51@mail.com
"Asif Bir K.C","8853 Gaushala",asif.k.c52@mail.com
"Sandeep Gopal Paudel","639 Sundhara",sandeep.paudel53@random.org
"Lalit Bhopal Kami","6036 Jawalakhel",lalit.kami54@demo.net
"Sompal Gopal Kami","3012 Ratnapark",sompal.kami55@random.org
"Sompal Dhoj Paudel","8431 Sundhara",sompal.paudel56@test.com
"Sandeep Dhoj K.C","5077 Jawalakhel",sandeep.k.c57@example.com
"Lalit Lal Bhandari","6278 Ekantakuna",lalit.bhandari58@random.org
"Paras Gopal Seikh","5008 Jawalakhel",paras.seikh59@random.org
"Arif Krishna Bhurtel","824 Ratnapark",arif.bhurtel60@test.com
"Sandeep Kumar Kami","1397 New Road",sandeep.kami61@test.com
"Karan Bhagat Rajbanshi","4897 New Road",karan.rajbanshi62@demo.net
"Asif Kumar Lamichane","5490 Ekantakuna",asif.lamichane63@demo.net
"Sompal Bhopal Kami","8338 Tripureshwor",sompal.kami64@random.org
"Sompal Gopal Lamichane","5942 Chabel",sompal.lamichane65@demo.net
"Sompal Bir Bhurtel","469 Jawalakhel",sompal.bhurtel66@demo.net
"Rohit Bhagat Paudel","1328 Ratnapark",rohit.paudel67@demo.net
"Karan Kumar Khadka","5250 Sundhara",karan.khadka68@mail.com
"Binod Bahadur Malla","5947 Tripureshwor",binod.malla69@mail.com
"Kushal Lal Lamichane","5328 Baneshwor",kushal.lamichane70@demo.net
"Kushal Bhagat Lamichane","8628 Ekantakuna",kushal.lamichane71@random.org
"Sandeep Lal Seikh","2352 Jawalakhel",sandeep.seikh72@test.com
"Arif Dev Malla","2229 Tripureshwor",arif.malla73@mail.com
"Sompal Bhopal Bhurtel","7664 Gaushala",sompal.bhurtel74@test.com
"Paras Dhoj Malla","522 New Road",paras.malla75@mail.com
"Sandeep Krishna Bhandari","5742 Tinkune",sandeep.bhandari76@test.com
"Asif Krishna Kami","5907 Sundhara",asif.kami77@demo.net
"Arif Kumar Malla","5153 Tinkune",arif.malla78@mail.com
"Arif Kumar Bhandari","3893 Baneshwor",arif.bhandari79@mail.com
"Binod Bhopal Seikh","1463 Ratnapark",binod.seikh80@random.org
"Arif Bhopal Kami","6581 Tinkune",arif.kami81@random.org
"Paras Gopal Bhandari","7311 Chabel",paras.bhandari82@mail.com
"Arif Gopal Rajbanshi","8685 Ratnapark",arif.rajbanshi83@test.com
"Karan Bir Rajbanshi","8780 Gaushala",karan.rajbanshi84@demo.net
"Kushal Krishna Malla","4985 Baneshwor",kushal.malla85@example.com
"Arif Bir Seikh","6652 Ratnapark",arif.seikh86@random.org
"Karan Bhagat K.C","3433 Tripureshwor",karan.k.c87@demo.net
"Lalit Bhagat Rajbanshi","4909 Chabel",lalit.rajbanshi88@test.com
"Kushal Kumar Seikh","7954 Ratnapark",kushal.seikh89@mail.com
"Rohit Lal Khadka","566 Tinkune",rohit.khadka90@random.org
"Binod Lal Bhandari","7999 Tinkune",binod.bhandari91@test.com
"Paras Gopal K.C","2896 Baneshwor",paras.k.c92@example.com
"Binod Bhopal Bhurtel","194 Baneshwor",binod.bhurtel93@example.com
"Kushal Bahadur Khadka","7534 Baneshwor",kushal.khadka94@test.com
"Paras Bhagat Khadka","887 Gaushala",paras.khadka95@test.com
"Karan Bahadur K.C","1915 Sundhara",karan.k.c96@random.org
"Kushal Bir Bhandari","2217 Chabel",kushal.bhandari97@demo.net
"Sandeep Bir K.C","7441 Sundhara",sandeep.k.c98@test.com
"Karan Bhopal Bhurtel","5592 New Road",karan.bhurtel99@random.org
"Binod Gopal Bhandari","853 Jawalakhel",binod.bhandari100@demo.net
"Rohit Kumar Malla","1106 Ratnapark",rohit.malla101@demo.net
"Arif Kumar Malla","3475 Baneshwor",arif.malla102@example.com
"Paras Dhoj Lamichane","9666 Gaushala",paras.lamichane103@test.com
"Kushal Dev Rajbanshi","3906 Tinkune",kushal.rajbanshi104@random.org
"Sandeep Bhopal Paudel","7913 New Road",sandeep.paudel105@example.com
"Binod Bahadur Bhurtel","7863 Tripureshwor",binod.bhurtel106@demo.net
"Arif Dev Khadka","5067 Tripureshwor",arif.khadka107@example.com
"Kushal Bhagat Paudel","7603 Tripureshwor",kushal.paudel108@test.com
"Arif Lal Lamichane","1956 Tinkune",arif.lamichane109@random.org
"Sompal Dev K.C","9849 Gaushala",sompal.k.c110@demo.net
"Sompal Krishna Rajbanshi","2588 Ekantakuna",sompal.rajbanshi111@random.org
"Sompal Bhopal Kami","2685 Chabel",sompal.kami112@mail.com
"Binod Lal Paudel","4613 Tripureshwor",binod.paudel113@demo.net
"Rohit Dev Lamichane","7419 Tripureshwor",rohit.lamichane114@random.org
"Binod Bahadur Lamichane","9258 Gaushala",binod.lamichane115@random.org
"Rohit Bir Khadka","7434 Gaushala",rohit.khadka116@example.com
"Paras Bhagat Seikh","3441 Ratnapark",paras.seikh117@demo.net
"Rohit Bhopal Malla","2597 New Road",rohit.malla118@example.com
"Lalit Lal Malla","8931 Tinkune",lalit.malla119@demo.net
"Kushal Bir K.C","4832 Sundhara",kushal.k.c120@mail.com
"Asif Gopal K.C","2316 Ratnapark",asif.k.c121@test.com
"Sompal Lal Khadka","1497 Tinkune",sompal.khadka122@mail.com
"Asif Krishna K.C","2054 Ratnapark",asif.k.c123@test.com
"Paras Lal Bhurtel","8584 Chabel",paras.bhurtel124@example.com
"Lalit Bir Paudel","8382 Ekantakuna",lalit.paudel125@mail.com
"Kushal Lal Khadka","4944 Baneshwor",kushal.khadka126@mail.com
"Arif Bhopal Paudel","3998 Ratnapark",arif.paudel127@mail.com
"Karan Bir Seikh","9617 Tinkune",karan.seikh128@mail.com
"Karan Bhagat Bhurtel","4923 Ratnapark",karan.bhurtel129@example.com
"Karan Dhoj K.C","532 Tinkune",karan.k.c130@example.com
"Arif Dev Paudel","8190 New Road",arif.paudel131@random.org
"Arif Dev Rajbanshi","5944 Ratnapark",arif.rajbanshi132@demo.net
"Kushal Bahadur Bhandari","2792 Jawalakhel",kushal.bhandari133@test.com
"Asif Lal K.C","5885 Tinkune",asif.k.c134@mail.com
"Karan Krishna Khadka","3242 Chabel",karan.khadka135@mail.com
"Karan Bhopal Rajbanshi","6541 New Road",karan.rajbanshi136@example.com
"Lalit Lal Bhurtel","821 Tinkune",lalit.bhurtel137@demo.net
"Kushal Bhopal Paudel","6576 Tripureshwor",kushal.paudel138@random.org
"Kushal Bhopal K.C","5779 Ekantakuna",kushal.k.c139@random.org
"Kushal Lal Rajbanshi","2315 New Road",kushal.rajbanshi140@mail.com
"Paras Bir Khadka","8798 Chabel",paras.khadka141@random.org
"Karan Gopal Kami","723 Baneshwor",karan.kami142@random.org
"Binod Gopal Seikh","843 Chabel",binod.seikh143@random.org
"Paras Dev Seikh","1018 Baneshwor",paras.seikh144@example.com
"Arif Krishna Paudel","164 Tripureshwor",arif.paudel145@test.com
"Arif Bhagat Malla","7500 New Road",arif.malla146@demo.net
"Paras Bhopal Bhandari","215 Gaushala",paras.bhandari147@demo.net
"Rohit Krishna Bhandari","8032 Tripureshwor",rohit.bhandari148@random.org
"Karan Krishna Paudel","7321 Tripureshwor",karan.paudel149@mail.com
"Lalit Dev Kami","9076 Tinkune",lalit.kami150@mail.com
"Arif Dhoj Kami","5014 New Road",arif.kami151@example.com
"Paras Lal Lamichane","9517 Baneshwor",paras.lamichane152@demo.net
